"Nadeshiko pink" F6ADC6
"Red (pigment)" ED1C24
"Red (RYB)" FE2712
"Red-brown" A52A2A
"Red devil" 860111
"Red-orange" FF5349
"Red-purple" E40078
"Red Salsa" FD3A4A
"Red-violet" C71585
"Redwood" A45A52
"Regalia" 522D80
"Resolution blue" 002387
"Rhythm" 777696
"Rich black" 004040
"Rich black (FOGRA29)" 010B13
"Rich black (FOGRA39)" 010203
"Rich brilliant lavender" F1A7FE
"Rich carmine" D70040
"Rich electric blue" 0892D0
"Rich lavender" A76BCF
"Rich lilac" B666D2
"Rich maroon" B03060
"Rifle green" 444C38
"Roast coffee" 704241
"Robin egg blue" 00CCCC
"Rocket metallic" 8A7F80
"Roman silver" 838996
"Rose" FF007F
"Rose bonbon" F9429E
"Rose Dust" 9E5E6F
"Rose ebony" 674846
"Rose gold" B76E79
"Rose madder" E32636
"Rose pink" FF66CC
"Rose quartz" AA98A9
"Rose red" C21E56
"Rose taupe" 905D5D
"Rose vale" AB4E52
"Rosewood" 65000B
"Rosso corsa" D40000
"Rosy brown" BC8F8F
"Royal azure" 0038A8
"Royal blue" 002366
"Royal blue (web)" 4169E1
"Royal fuchsia" CA2C92
"Royal purple" 7851A9
"Royal yellow" FADA5E
"Ruber" CE4676
"Rubine red" D10056
"Ruby" E0115F
"Ruby red" 9B111E
"Ruddy" FF0028
"Ruddy brown" BB6528
"Ruddy pink" E18E96
"Rufous" A81C07
"Russet" 80461B
"Russian green" 679267
"Russian violet" 32174D
"Rust" B7410E
"Rusty red" DA2C43
"Sacramento State green" 00563F
"Saddle brown" 8B4513
"Safety orange" FF7800
"Safety orange (blaze orange)" FF6700
"Safety yellow" EED202
"Saffron" F4C430
"Sage" BCB88A
"St. Patrick's blue" 23297A
"Salmon" FA8072
"Salmon pink" FF91A4
"Sand" C2B280
"Sand dune" 967117
"Sandstorm" ECD540
"Sandy brown" F4A460
"Sandy Tan" FDD9B5
"Sandy taupe" 967117
"Sangria" 92000A
"Sap green" 507D2A
"Sapphire" 0F52BA
"Sapphire blue" 0067A5
"Sasquatch Socks" FF4681
"Satin sheen gold" CBA135
"Scarlet" FF2400
"Scarlet" FD0E35
"Schauss pink" FF91AF
"School bus yellow" FFD800
"Screamin' Green" 66FF66
"Sea blue" 006994
"Sea Foam Green" 9FE2BF
"Sea green" 2E8B57
"Sea Serpent" 4BC7CF
"Seal brown" 59260B
"Seashell" FFF5EE
"Selective yellow" FFBA00
"Sepia" 704214
"Shadow" 8A795D
"Shadow blue" 778BA5
"Shampoo" FFCFF1
"Shamrock green" 009E60
"Sheen Green" 8FD400
"Shimmering Blush" D98695
"Shiny Shamrock" 5FA778
"Shocking pink" FC0FC0
"Shocking pink (Crayola)" FF6FFF
"Sienna" 882D17
"Silver" C0C0C0
"Silver chalice" ACACAC
"Silver Lake blue" 5D89BA
"Silver pink" C4AEAD
"Silver sand" BFC1C2
"Sinopia" CB410B
"Sizzling Red" FF3855
"Sizzling Sunrise" FFDB00
"Skobeloff" 007474
"Sky blue" 87CEEB
"Sky magenta" CF71AF
"Slate blue" 6A5ACD
"Slate gray" 708090
"Smalt (Dark powder blue)" 003399
"Slimy Green" 299617
"Smashed Pumpkin" FF6D3A
"Smitten" C84186
"Smoke" 738276
"Smokey Topaz" 832A0D
"Smoky black" 100C08
"Smoky Topaz" 933D41
"Snow" FFFAFA
"Soap" CEC8EF
"Solid pink" 893843
"Sonic silver" 757575
"Spartan Crimson" 9E1316
"Space cadet" 1D2951
"Spanish bistre" 807532
"Spanish blue" 0070B8
"Spanish carmine" D10047
"Spanish crimson" E51A4C
"Spanish gray" 989898
"Spanish green" 009150
"Spanish orange" E86100
"Spanish pink" F7BFBE
"Spanish red" E60026
"Spanish sky blue" 00FFFF
"Spanish violet" 4C2882
"Spanish viridian" 007F5C
"Spicy mix" 8B5f4D
"Spiro Disco Ball" 0FC0FC
"Spring bud" A7FC00
"Spring Frost" 87FF2A
"Spring green" 00FF7F
"Star command blue" 007BB8
"Steel blue" 4682B4
"Steel pink" CC33CC
"Steel Teal" 5F8A8B
"Stil de grain yellow" FADA5E
"Stizza" 990000
"Stormcloud" 4F666A
"Straw" E4D96F
"Strawberry" FC5A8D
"Sugar Plum" 914E75
"Sunburnt Cyclops" FF404C
"Sunglow" FFCC33
"Sunny" F2F27A
"Sunray" E3AB57
"Sunset" FAD6A5
"Sunset orange" FD5E53
"Super pink" CF6BA9
"Sweet Brown" A83731
"Tan" D2B48C
"Tangelo" F94D00
"Tangerine" F28500
"Tangerine yellow" FFCC00
"Tango pink" E4717A
"Tart Orange" FB4D46
"Taupe" 483C32
"Taupe gray" 8B8589
"Tea green" D0F0C0
"Tea rose" F88379
"Tea rose" F4C2C2
"Teal" 008080
"Teal blue" 367588
"Teal deer" 99E6B3
"Teal green" 00827F
"Telemagenta" CF3476
"Tenné (tawny)" CD5700
"Terra cotta" E2725B
"Thistle" D8BFD8
"Thulian pink" DE6FA1
"Tickle Me Pink" FC89AC
"Tiffany Blue" 0ABAB5
"Tiger's eye" E08D3C
"Timberwolf" DBD7D2
"Titanium yellow" EEE600
"Tomato" FF6347
"Toolbox" 746CC0
"Topaz" FFC87C
"Tractor red" FD0E35
"Trolley Grey" 808080
"Tropical rain forest" 00755E
"Tropical violet" CDA4DE
"True Blue" 0073CF
"Tufts Blue" 3E8EDE
"Tulip" FF878D
"Tumbleweed" DEAA88
"Turkish rose" B57281
"Turquoise" 40E0D0
"Turquoise blue" 00FFEF
"Turquoise green" A0D6B4
"Turquoise Surf" 00C5CD
"Turtle green" 8A9A5B
"Tuscan" FAD6A5
"Tuscan brown" 6F4E37
"Tuscan red" 7C4848
"Tuscan tan" A67B5B
"Tuscany" C09999
"Twilight lavender" 8A496B
"Tyrian purple" 66023C
"UA blue" 0033AA
"UA red" D9004C
"Ube" 8878C3
"UCLA Blue" 536895
"UCLA Gold" FFB300
"UFO Green" 3CD070
"Ultramarine" 3F00FF
"Ultramarine blue" 4166F5
"Ultra pink" FF6FFF
"Ultra red" FC6C85
"Umber" 635147
"Unbleached silk" FFDDCA
"United Nations blue" 5B92E5
"University of California Gold" B78727
"Unmellow yellow" FFFF66
"UP Forest green" 014421
"UP Maroon" 7B1113
"Upsdell red" AE2029
"Urobilin" E1AD21
"USAFA blue" 004F98
"USC Cardinal" 990000
"USC Gold" FFCC00
"University of Tennessee Orange" F77F00
"Utah Crimson" D3003F
"Van Dyke Brown" 664228
"Vanilla" F3E5AB
"Vanilla ice" F38FA9
"Vegas gold" C5B358
"Venetian red" C80815
"Verdigris" 43B3AE
"Vermilion" E34234
"Vermilion" D9381E
"Veronica" A020F0
"Very light azure" 74BBFB
"Very light blue" 6666FF
"Very light malachite green" 64E986
"Very light tangelo" FFB077
"Very pale orange" FFDFBF
"Very pale yellow" FFFFBF
"Violet" 8F00FF
"Violet (color wheel)" 7F00FF
"Violet (RYB)" 8601AF
"Violet (web)" EE82EE
"Violet-blue" 324AB2
"Violet-red" F75394
"Viridian" 40826D
"Viridian green" 009698
"Vista blue" 7C9ED9
"Vivid amber" CC9900
"Vivid auburn" 922724
"Vivid burgundy" 9F1D35
"Vivid cerise" DA1D81
"Vivid cerulean" 00AAEE
"Vivid crimson" CC0033
"Vivid gamboge" FF9900
"Vivid lime green" A6D608
"Vivid malachite" 00CC33
"Vivid mulberry" B80CE3
"Vivid orange" FF5F00
"Vivid orange peel" FFA000
"Vivid orchid" CC00FF
"Vivid raspberry" FF006C
"Vivid red" F70D1A
"Vivid red-tangelo" DF6124
"Vivid sky blue" 00CCFF
"Vivid tangelo" F07427
"Vivid tangerine" FFA089
"Vivid vermilion" E56024
"Vivid violet" 9F00FF
"Vivid yellow" FFE302
"Volt" CEFF00
"Wageningen Green" 34B233
"Warm black" 004242
"Waterspout" A4F4F9
"Weldon Blue" 7C98AB
"Wenge" 645452
"Wheat" F5DEB3
"White" FFFFFF
"White smoke" F5F5F5
"Wild blue yonder" A2ADD0
"Wild orchid" D470A2
"Wild Strawberry" FF43A4
"Wild watermelon" FC6C85
"Willpower orange" FD5800
"Windsor tan" A75502
"Wine" 722F37
"Wine dregs" 673147
"Winter Sky" FF007C
"Winter Wizard" A0E6FF
"Wintergreen Dream" 56887D
"Wisteria" C9A0DC
"Wood brown" C19A6B
"Xanadu" 738678
"Yale Blue" 0F4D92
"Yankees blue" 1C2841
"Yellow" FFFF00
"Yellow (Crayola)" FCE883
"Yellow (Munsell)" EFCC00
"Yellow (NCS)" FFD300
"Yellow (Pantone)" FEDF00
"Yellow (process)" FFEF00
"Yellow (RYB)" FEFE33
"Yellow-green" 9ACD32
"Yellow Orange" FFAE42
"Yellow rose" FFF000
"Yellow Sunshine" FFF700
"Zaffre" 0014A8
"Zinnwaldite brown" 2C1608
"Zomp" 39A78E
